trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
53,False,"{'a': 0.5, 'e': 0.9397266833757647}",20,0,-39.090975600721734,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.9385537919623771}",30,0,-194.3052431968326,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.9373795232591522}",20,0,-71.73776426860624,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.9362038740276699}",25,0,-26.192388177103243,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.935026841018075}",20,0,-68.15165299753221,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9338484209690229}",20,0,-74.20954614767237,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.9326686106076257}",30,0,-162.56048821935028,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.9314874066493978}",25,0,-117.21694005045694,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9303048057982009}",20,0,-8.532978397889279,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9291208047461886}",35,0,-174.91793026806138,"{0: 22, 1: 5, 2: 5, 3: 0, 4: 3}",0
63,False,"{'a': 0.5, 'e': 0.9279354001737514}",25,0,-51.20921442836215,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.9267485887494603}",30,0,-121.65685011729178,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9255603671300109}",30,0,-131.3613825098429,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.924370731960167}",30,0,-70.63444102177479,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9231796798727033}",20,0,-174.95755323608884,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
68,False,"{'a': 0.5, 'e': 0.921987207488349}",25,0,-53.24554098169576,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
