trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
185,False,"{'a': 0.5, 'e': 0.7716264336561576}",20,0,-82.79540931511427,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
186,False,"{'a': 0.5, 'e': 0.7702386893232351}",20,0,-40.20909350595699,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
187,False,"{'a': 0.5, 'e': 0.7688490164793891}",20,0,-191.1064330782768,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
188,False,"{'a': 0.5, 'e': 0.7674574097571603}",20,0,-71.86674880767013,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
189,False,"{'a': 0.5, 'e': 0.7660638637666498}",20,0,-48.45505000299155,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
190,False,"{'a': 0.5, 'e': 0.7646683730953946}",25,0,-104.12922992544546,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
191,False,"{'a': 0.5, 'e': 0.7632709323082403}",25,1,-110.99100551458595,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 2}",1
192,False,"{'a': 0.5, 'e': 0.761871535947215}",25,1,-80.15067354809153,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 2}",1
193,False,"{'a': 0.5, 'e': 0.7604701785314011}",20,0,-49.99964456220391,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
194,False,"{'a': 0.5, 'e': 0.7590668545568062}",30,2,-32.12152665679334,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.7576615584962342}",25,12,-47.22320917698119,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
196,False,"{'a': 0.5, 'e': 0.7562542847991535}",20,0,-41.17548001561486,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
197,False,"{'a': 0.5, 'e': 0.7548450278915666}",30,4,-153.26332909976517,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 2}",1
198,False,"{'a': 0.5, 'e': 0.7534337821758769}",20,0,-20.912509168368356,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
199,False,"{'a': 0.5, 'e': 0.7520205420307557}",20,0,-58.86315120073398,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
200,False,"{'a': 0.5, 'e': 0.7506053018110077}",25,0,-158.75002808547634,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
201,False,"{'a': 0.5, 'e': 0.7491880558474354}",20,0,-27.629286609152704,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
202,False,"{'a': 0.5, 'e': 0.7477687984467035}",35,11,-115.30460306434863,"{0: 16, 1: 0, 2: 4, 3: 3, 4: 1}",1
203,False,"{'a': 0.5, 'e': 0.7463475238912012}",20,2,-23.967701190698065,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.744924226438904}",25,5,-2.7518376187830063,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.7434989003232347}",35,0,-206.52814634903788,"{0: 21, 1: 4, 2: 5, 3: 2, 4: 3}",0
206,False,"{'a': 0.5, 'e': 0.7420715397529233}",25,0,-85.65600326615001,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
207,False,"{'a': 0.5, 'e': 0.7406421389118651}",30,0,-145.76443976601314,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
208,False,"{'a': 0.5, 'e': 0.7392106919589798}",20,0,-44.567563116992446,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
209,False,"{'a': 0.5, 'e': 0.7377771930280669}",20,0,-69.47856902835571,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
210,False,"{'a': 0.5, 'e': 0.7363416362276625}",25,16,4.478865507334854,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.7349040156408934}",30,0,-156.48966505724556,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 4}",0
212,False,"{'a': 0.5, 'e': 0.7334643253253311}",35,5,-107.79734080486642,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",1
213,False,"{'a': 0.5, 'e': 0.7320225593128442}",20,0,-55.09629167009726,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",1
214,False,"{'a': 0.5, 'e': 0.7305787116094503}",20,0,-63.47248229145576,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
215,False,"{'a': 0.5, 'e': 0.729132776195166}",20,0,-43.06805599456671,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
216,False,"{'a': 0.5, 'e': 0.7276847470238568}",20,0,-90.87383820759032,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
217,False,"{'a': 0.5, 'e': 0.7262346180230846}",20,2,-61.01220683970436,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 1}",1
218,False,"{'a': 0.5, 'e': 0.7247823830939564}",25,0,-67.62921196208418,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
219,False,"{'a': 0.5, 'e': 0.7233280361109686}",25,0,-97.59983289249227,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
220,False,"{'a': 0.5, 'e': 0.7218715709218533}",35,18,-46.949836378241436,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
221,False,"{'a': 0.5, 'e': 0.7204129813474216}",20,0,-21.46421512975395,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
222,False,"{'a': 0.5, 'e': 0.7189522611814062}",25,0,-123.95394820091131,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
223,False,"{'a': 0.5, 'e': 0.7174894041903035}",25,13,-33.358125031990305,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
224,False,"{'a': 0.5, 'e': 0.7160244041132132}",30,0,-122.02554747584004,"{0: 20, 1: 0, 2: 7, 3: 2, 4: 1}",0
225,False,"{'a': 0.5, 'e': 0.7145572546616784}",20,3,-23.332930848448044,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
226,False,"{'a': 0.5, 'e': 0.7130879495195229}",20,0,-32.24045801388957,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
227,False,"{'a': 0.5, 'e': 0.7116164823426885}",30,0,1.304838063199111,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
228,False,"{'a': 0.5, 'e': 0.7101428467590702}",20,0,-9.09311367002568,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
229,False,"{'a': 0.5, 'e': 0.7086670363683515}",30,0,-129.36206356231747,"{0: 23, 1: 0, 2: 2, 3: 3, 4: 2}",0
230,False,"{'a': 0.5, 'e': 0.7071890447418363}",25,0,-55.58407481488498,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
231,False,"{'a': 0.5, 'e': 0.7057088654222824}",30,0,-35.84521846122867,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
232,False,"{'a': 0.5, 'e': 0.7042264919237308}",35,13,-20.75907820278436,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.7027419177313362}",20,0,0.851624089323927,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
234,False,"{'a': 0.5, 'e': 0.7012551363011947}",20,0,-80.28120333777515,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
235,False,"{'a': 0.5, 'e': 0.6997661410601709}",20,0,2.6691680857948836,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
236,False,"{'a': 0.5, 'e': 0.6982749254057233}",35,0,-53.256847838634044,"{0: 29, 1: 0, 2: 5, 3: 0, 4: 1}",0
237,False,"{'a': 0.5, 'e': 0.6967814827057293}",20,3,-57.755167267982316,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
238,False,"{'a': 0.5, 'e': 0.6952858062983072}",20,0,-7.118132218293257,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
239,False,"{'a': 0.5, 'e': 0.6937878894916387}",25,10,11.294838867411706,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.6922877255637894}",30,7,-7.2247991111249545,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.6907853077625267}",25,0,-6.261303398902242,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
242,False,"{'a': 0.5, 'e': 0.6892806293051384}",20,9,21.833996296225582,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.6877736833782492}",35,0,-182.45963133132133,"{0: 21, 1: 4, 2: 5, 3: 3, 4: 2}",0
244,False,"{'a': 0.5, 'e': 0.6862644631376346}",20,0,-98.55712571476047,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
245,False,"{'a': 0.5, 'e': 0.684752961708035}",25,0,-183.98942668094588,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
246,False,"{'a': 0.5, 'e': 0.6832391721829679}",25,0,-4.630756413251514,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
247,False,"{'a': 0.5, 'e': 0.6817230876245381}",20,0,-56.69001226086727,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
248,False,"{'a': 0.5, 'e': 0.6802047010632475}",20,0,-40.989412544961596,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.6786840054978022}",20,0,-42.62647869070591,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
250,False,"{'a': 0.5, 'e': 0.6771609938949192}",25,0,-68.60049586669683,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
251,False,"{'a': 0.5, 'e': 0.6756356591891314}",30,8,-72.73352829487173,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 1}",1
252,False,"{'a': 0.5, 'e': 0.6741079942825903}",25,6,-11.885943954792666,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.6725779920448683}",20,0,-11.580027587286988,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
254,False,"{'a': 0.5, 'e': 0.6710456453127592}",35,0,-26.15888397735173,"{0: 29, 1: 2, 2: 2, 3: 2, 4: 0}",0
255,False,"{'a': 0.5, 'e': 0.6695109468900765}",20,0,-132.97413536141977,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
256,False,"{'a': 0.5, 'e': 0.6679738895474508}",25,0,-74.00372075423861,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
257,False,"{'a': 0.5, 'e': 0.6664344660221256}",25,9,-50.575064857738695,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.6648926690177511}",20,0,-6.320860699134182,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
259,False,"{'a': 0.5, 'e': 0.6633484912041772}",20,12,-30.99035577598726,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.6618019252172436}",30,17,-20.57610414930223,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.6602529636585701}",25,0,-9.448271826795262,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
262,False,"{'a': 0.5, 'e': 0.6587015990953435}",25,0,-56.634244399848264,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
263,False,"{'a': 0.5, 'e': 0.6571478240601037}",25,1,8.559445794104223,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.6555916310505284}",25,15,3.459896225975033,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.6540330125292154}",20,12,-51.34280705491486,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
266,False,"{'a': 0.5, 'e': 0.6524719609234637}",20,9,-17.16198613074915,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.6509084686250526}",25,0,-26.73775390577475,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
268,False,"{'a': 0.5, 'e': 0.6493425279900192}",20,12,-6.1322019457507935,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.6477741313384346}",25,0,1.923842024979025,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.6462032709541774}",25,0,-24.20064122495186,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
271,False,"{'a': 0.5, 'e': 0.6446299390847062}",20,0,-141.24233686053208,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
272,False,"{'a': 0.5, 'e': 0.6430541279408298}",20,0,-121.27691698857907,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
273,False,"{'a': 0.5, 'e': 0.6414758296964762}",20,0,6.3855942289503345,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.6398950364884588}",20,10,-27.476878850756265,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.6383117404162422}",20,0,-4.801616276152498,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
276,False,"{'a': 0.5, 'e': 0.6367259335417045}",30,0,-1.7349016163460589,"{0: 26, 1: 3, 2: 0, 3: 1, 4: 0}",0
277,False,"{'a': 0.5, 'e': 0.6351376078888988}",20,2,0.8657820575885549,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.6335467554438128}",25,0,-27.210051659665616,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
279,False,"{'a': 0.5, 'e': 0.6319533681541255}",30,8,-46.72926341552741,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
280,False,"{'a': 0.5, 'e': 0.6303574379289634}",30,0,-127.61023975998386,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
281,False,"{'a': 0.5, 'e': 0.6287589566386533}",20,0,-131.7878473839679,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
282,False,"{'a': 0.5, 'e': 0.6271579161144746}",20,7,-31.35114761364438,"{0: 8, 1: 3, 2: 1, 3: 1, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.6255543081484078}",20,12,-7.165826045786438,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
284,False,"{'a': 0.5, 'e': 0.6239481244928834}",30,0,-168.96575910178254,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
285,False,"{'a': 0.5, 'e': 0.6223393568605259}",30,3,-74.40685331813381,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 0}",1
286,False,"{'a': 0.5, 'e': 0.6207279969238982}",20,0,-52.80865782490516,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
287,False,"{'a': 0.5, 'e': 0.619114036315243}",25,0,-131.41795825815205,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
288,False,"{'a': 0.5, 'e': 0.6174974666262212}",25,5,-82.06340149569489,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",1
289,False,"{'a': 0.5, 'e': 0.61587827940765}",20,8,-35.94230721281986,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 0}",1
290,False,"{'a': 0.5, 'e': 0.6142564661692377}",20,0,-7.082288932408826,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
291,False,"{'a': 0.5, 'e': 0.612632018379316}",20,8,22.393784421662488,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.6110049274645718}",20,13,14.554147204370896,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.5, 'e': 0.6093751848097746}",25,5,-57.7518655268857,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
294,False,"{'a': 0.5, 'e': 0.6077427817575035}",25,0,0.8534843714100624,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
295,False,"{'a': 0.5, 'e': 0.6061077096078711}",30,0,-76.14232689647939,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
296,False,"{'a': 0.5, 'e': 0.6044699596182449}",20,0,-90.45968034022846,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
297,False,"{'a': 0.5, 'e': 0.6028295230029675}",20,6,-74.06684477620428,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 1}",1
298,False,"{'a': 0.5, 'e': 0.6011863909330736}",20,0,-76.04266455500473,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
299,False,"{'a': 0.5, 'e': 0.5995405545360043}",25,11,-35.14987816622587,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.5978920048953206}",20,1,-76.5807928829521,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 1}",1
301,False,"{'a': 0.5, 'e': 0.5962407330504127}",35,3,-143.82987598503325,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 2}",1
302,False,"{'a': 0.5, 'e': 0.5945867299962083}",20,0,-98.71677730215296,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
303,False,"{'a': 0.5, 'e': 0.592929986682878}",20,0,-38.651963186916475,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
304,False,"{'a': 0.5, 'e': 0.5912704940155377}",25,13,-55.17812352294393,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
305,False,"{'a': 0.5, 'e': 0.5896082428539492}",20,16,9.45547679208216,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.5879432240122187}",20,0,13.484434195118958,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
307,False,"{'a': 0.5, 'e': 0.5862754282584914}",30,15,-106.93157971649579,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 2}",1
308,False,"{'a': 0.5, 'e': 0.584604846314645}",20,16,8.151193459981197,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.5, 'e': 0.5829314688559798}",20,0,-134.17591118273378,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
310,False,"{'a': 0.5, 'e': 0.5812552865109061}",30,0,-18.283506403940834,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",0
311,False,"{'a': 0.5, 'e': 0.5795762898606298}",20,9,-91.9098230764303,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 2}",1
312,False,"{'a': 0.5, 'e': 0.5778944694388344}",25,7,2.3552989413283614,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
313,False,"{'a': 0.5, 'e': 0.5762098157313612}",25,0,-119.88106998967675,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
314,False,"{'a': 0.5, 'e': 0.5745223191758859}",25,12,-3.151293518304053,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
315,False,"{'a': 0.5, 'e': 0.5728319701615934}",30,2,-87.48007449226306,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 2}",1
316,False,"{'a': 0.5, 'e': 0.571138759028849}",20,5,-8.099765304351182,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
317,False,"{'a': 0.5, 'e': 0.5694426760688676}",20,16,5.16323651037244,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.5, 'e': 0.5677437115233789}",20,12,4.220498167432996,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.5660418555842915}",25,0,-25.858318541293958,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
320,False,"{'a': 0.5, 'e': 0.5643370983933526}",20,1,-36.27479697250139,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 0}",1
321,False,"{'a': 0.5, 'e': 0.5626294300418054}",25,0,-51.06035832282924,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
322,False,"{'a': 0.5, 'e': 0.5609188405700437}",25,0,-38.165114968149695,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
323,False,"{'a': 0.5, 'e': 0.5592053199672633}",20,13,-11.440259796481284,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
324,False,"{'a': 0.5, 'e': 0.5574888581711104}",20,6,-18.3086711672461,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
325,False,"{'a': 0.5, 'e': 0.5557694450673272}",20,0,-119.74537984415531,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
326,False,"{'a': 0.5, 'e': 0.5540470704893942}",30,0,-54.62309891809054,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",1
327,False,"{'a': 0.5, 'e': 0.5523217242181696}",20,0,-28.006350479895808,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
328,False,"{'a': 0.5, 'e': 0.5505933959815255}",20,0,-146.640538925448,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
329,False,"{'a': 0.5, 'e': 0.5488620754539807}",20,0,-38.26450871553336,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
330,False,"{'a': 0.5, 'e': 0.5471277522563311}",20,2,-37.1733133362374,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 0}",1
331,False,"{'a': 0.5, 'e': 0.5453904159552759}",25,11,-54.53979237082671,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
332,False,"{'a': 0.5, 'e': 0.5436500560630413}",20,0,7.642133452077046,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
333,False,"{'a': 0.5, 'e': 0.5419066620370001}",25,0,-126.98316667444693,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
334,False,"{'a': 0.5, 'e': 0.5401602232792894}",25,0,-54.2298731307276,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
335,False,"{'a': 0.5, 'e': 0.5384107291364232}",20,13,-5.506348051017973,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
336,False,"{'a': 0.5, 'e': 0.536658168898903}",20,10,-26.690715206702436,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
337,False,"{'a': 0.5, 'e': 0.5349025318008244}",20,13,-0.02269218970326614,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
338,False,"{'a': 0.5, 'e': 0.5331438070194798}",20,16,7.748349851285932,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.5, 'e': 0.5313819836749588}",20,0,-30.429827336952098,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
340,False,"{'a': 0.5, 'e': 0.5296170508297439}",25,0,-140.94970950407583,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 3}",0
341,False,"{'a': 0.5, 'e': 0.527848997488303}",25,5,-37.01330122616267,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
342,False,"{'a': 0.5, 'e': 0.5260778125966791}",25,0,-60.676036842345184,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
343,False,"{'a': 0.5, 'e': 0.5243034850420745}",20,0,-43.38927453545745,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
344,False,"{'a': 0.5, 'e': 0.5225260036524336}",35,13,-72.98381112626971,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 1}",1
345,False,"{'a': 0.5, 'e': 0.5207453571960202}",20,1,-14.13705455734477,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
346,False,"{'a': 0.5, 'e': 0.5189615343809916}",25,19,6.759206935745118,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.5, 'e': 0.5171745238549691}",30,9,-59.60260026692593,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 1}",1
348,False,"{'a': 0.5, 'e': 0.5153843142046047}",25,1,12.208568178689204,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
349,False,"{'a': 0.5, 'e': 0.5135908939551437}",20,0,-13.873854563132285,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
350,False,"{'a': 0.5, 'e': 0.5117942515699828}",20,7,-10.120841213827262,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
351,False,"{'a': 0.5, 'e': 0.5099943754502257}",20,4,-0.8845782523724797,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
352,False,"{'a': 0.5, 'e': 0.5081912539342333}",25,0,-46.03113306794348,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
353,False,"{'a': 0.5, 'e': 0.5063848752971702}",20,15,1.7682879332953334,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.5, 'e': 0.504575227750548}",30,17,-2.578522093509642,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
355,False,"{'a': 0.5, 'e': 0.5027622994417624}",20,10,16.543522997415018,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.5, 'e': 0.500946078453629}",20,0,-5.381655926156663,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
357,False,"{'a': 0.5, 'e': 0.49912655280391216}",25,0,-80.5433268632819,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
358,False,"{'a': 0.5, 'e': 0.4973037104448509}",20,13,-20.000629926007914,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
359,False,"{'a': 0.5, 'e': 0.4954775392626804}",30,9,-15.207511762045883,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
360,False,"{'a': 0.5, 'e': 0.4936480270771491}",20,0,-26.314187147135957,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
361,False,"{'a': 0.5, 'e': 0.49181516164103095}",20,0,-11.195628059127193,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
362,False,"{'a': 0.5, 'e': 0.4899789306396337}",30,5,19.712386240674128,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
363,False,"{'a': 0.5, 'e': 0.4881393216903024}",20,0,-31.60313615793377,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
364,False,"{'a': 0.5, 'e': 0.4862963223419183}",25,0,-44.292705560613314,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
365,False,"{'a': 0.5, 'e': 0.48444992007439325}",25,10,-69.07926677280518,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
366,False,"{'a': 0.5, 'e': 0.48260010229815953}",20,10,13.06153334105656,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.5, 'e': 0.4807468563536546}",30,12,-45.870378545449945,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
368,False,"{'a': 0.5, 'e': 0.47889016951080127}",25,9,-74.97660377414458,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
